time,energy,datetime,date,year,month,day,hour,minute,runningdate
1641247200,0.23,2022-01-03T22:00:00Z,2022-01-03,2022,1,3,22,0,103
1641249000,0.21,2022-01-03T22:30:00Z,2022-01-03,2022,1,3,22,30,103
1641250800,0.38,2022-01-03T23:00:00Z,2022-01-03,2022,1,3,23,0,103
1641252600,0.46,2022-01-03T23:30:00Z,2022-01-03,2022,1,3,23,30,103
1641254400,0.47,2022-01-04T00:00:00Z,2022-01-04,2022,1,4,0,0,104
1641256200,0.46,2022-01-04T00:30:00Z,2022-01-04,2022,1,4,0,30,104
1641258000,0.13,2022-01-04T01:00:00Z,2022-01-04,2022,1,4,1,0,104
1641259800,0.12,2022-01-04T01:30:00Z,2022-01-04,2022,1,4,1,30,104
1641261600,0.2,2022-01-04T02:00:00Z,2022-01-04,2022,1,4,2,0,104
1641263400,0.14,2022-01-04T02:30:00Z,2022-01-04,2022,1,4,2,30,104
1641265200,0.18,2022-01-04T03:00:00Z,2022-01-04,2022,1,4,3,0,104
1641267000,0.14,2022-01-04T03:30:00Z,2022-01-04,2022,1,4,3,30,104
1641268800,0.21,2022-01-04T04:00:00Z,2022-01-04,2022,1,4,4,0,104
1641270600,0.16,2022-01-04T04:30:00Z,2022-01-04,2022,1,4,4,30,104
1641272400,0.16,2022-01-04T05:00:00Z,2022-01-04,2022,1,4,5,0,104
1641274200,0.25,2022-01-04T05:30:00Z,2022-01-04,2022,1,4,5,30,104
1641276000,0.37,2022-01-04T06:00:00Z,2022-01-04,2022,1,4,6,0,104
1641277800,0.54,2022-01-04T06:30:00Z,2022-01-04,2022,1,4,6,30,104
1641279600,0.44,2022-01-04T07:00:00Z,2022-01-04,2022,1,4,7,0,104
1641281400,0.34,2022-01-04T07:30:00Z,2022-01-04,2022,1,4,7,30,104
1641283200,0.42,2022-01-04T08:00:00Z,2022-01-04,2022,1,4,8,0,104
1641285000,0.22,2022-01-04T08:30:00Z,2022-01-04,2022,1,4,8,30,104
1641286800,0.21,2022-01-04T09:00:00Z,2022-01-04,2022,1,4,9,0,104
1641288600,0.18,2022-01-04T09:30:00Z,2022-01-04,2022,1,4,9,30,104
1641290400,0.17,2022-01-04T10:00:00Z,2022-01-04,2022,1,4,10,0,104
1641292200,0.15,2022-01-04T10:30:00Z,2022-01-04,2022,1,4,10,30,104
1641294000,0.19,2022-01-04T11:00:00Z,2022-01-04,2022,1,4,11,0,104
1641295800,0.3,2022-01-04T11:30:00Z,2022-01-04,2022,1,4,11,30,104
1641297600,0.13,2022-01-04T12:00:00Z,2022-01-04,2022,1,4,12,0,104
1641299400,0.2,2022-01-04T12:30:00Z,2022-01-04,2022,1,4,12,30,104
1641301200,0.14,2022-01-04T13:00:00Z,2022-01-04,2022,1,4,13,0,104
1641303000,0.1,2022-01-04T13:30:00Z,2022-01-04,2022,1,4,13,30,104
1641304800,0.21,2022-01-04T14:00:00Z,2022-01-04,2022,1,4,14,0,104
1641306600,0.29,2022-01-04T14:30:00Z,2022-01-04,2022,1,4,14,30,104
1641308400,0.11,2022-01-04T15:00:00Z,2022-01-04,2022,1,4,15,0,104
1641310200,0.26,2022-01-04T15:30:00Z,2022-01-04,2022,1,4,15,30,104
